ID,Researcher,Date,Time,LocationID,MeadowID,Species,Number_Counted,Remarks_Counts,Ronde,__id
3524,938,31/03/2025,8:37:00 AM,5,5029,BTG_terr,10,,1,TmdPcD5hZkdQR1omKCZoOV1SbiM
3549,938,31/03/2025,10:45:00 AM,5,5030,BTG_terr,4,,1,UXRjVCg2SEgpb0ZNUV0pKThldj4
3525,938,31/03/2025,8:45:00 AM,5,5031,BTG_terr,3,,1,V0pdYSFrQXJaNV1FbUcrT2R1RVg
3548,938,31/03/2025,10:43:00 AM,5,5032,BTG_terr,5,,1,S2VhT0VdQyYoT09OaU41XUdBWCk
3526,938,31/03/2025,8:51:00 AM,5,5033,BTG_terr,2,,1,UCVSO3MpeEBLd3pjOGhBRkwwSEU
3547,938,31/03/2025,10:32:00 AM,5,5034,BTG_terr,3,,1,TjpYW2NoUTBPRzRHSDA3QXIxTCo
3527,938,31/03/2025,8:57:00 AM,5,5035,BTG_terr,9,,1,Wik5azRreVJIW1cpU1hoRjgwQT4
3546,938,31/03/2025,10:25:00 AM,5,5036,BTG_terr,3,,1,Sm0zS2UyZ1MjNTNIIzNwR3BHbm4
3528,938,31/03/2025,9:03:00 AM,5,5037,BTG_terr,4,,1,TEo8a3VxdmkwZ0w7biklUEQwYVk
3545,938,31/03/2025,10:18:00 AM,5,5038,BTG_terr,12,,1,WSFKZVQ7K1lhYTRbRjYmeDxzW1g
3530,938,31/03/2025,9:09:00 AM,5,5039,BTG_terr,2,,1,TzJCdjw8KmJFYXU4OT5pdWRYV3g
3544,938,31/03/2025,10:13:00 AM,5,5040,BTG_terr,3,,1,JW5iPlkqY0JCU1tlIW9dJS10TlU
3531,938,31/03/2025,9:16:00 AM,5,5041,BTG_terr,7,,1,JTFFQ2dGQnF5Wm5nVmRFJlMqQGY
3543,938,31/03/2025,10:08:00 AM,5,5042,BTG_terr,3,,1,WXFhUGhiKnN5NzN3YXlTLUs-Sms
3532,938,31/03/2025,9:24:00 AM,5,5043,BTG_terr,13,,1,IVdKbkd5Nih4ZE9UWGVGNmtIZ00
3542,938,31/03/2025,10:03:00 AM,5,5044,BTG_terr,5,,1,KEx4cWtsRlBRNHlQNW9oLXp6I1s
3534,938,31/03/2025,9:33:00 AM,5,5045,BTG_terr,7,,1,VyZzWXhLMmgjbUN4WS1wI2pDTz4
3540,938,31/03/2025,9:56:00 AM,5,5046,BTG_terr,13,,1,PColQkRHWHkqTU0wenZpeVV6bzU
3537,938,31/03/2025,9:49:00 AM,5,5047,BTG_terr,2,,1,Rj5rR1cmSVtZQUNRM3hOcCFGd0Y
3538,938,31/03/2025,9:49:00 AM,5,5048,BTG_terr,4,,1,PGxMTjM3ZW46NHhlKEg6dEh0NjM
3539,938,31/03/2025,9:50:00 AM,5,5049,BTG_terr,3,,1,VHZ1N1V1UXZscCVrKUddZUI6c3I
3536,938,31/03/2025,9:49:00 AM,5,5050,BTG_terr,4,,1,T2o3JUc0UTYqUz5ndVAqOktoVjY
3608,938,07/04/2025,9:34:00 AM,5,5029,BTG_terr,21,,2,VSg8UUZjMWlxRU14M2F0cilUSlI
3607,938,07/04/2025,9:27:00 AM,5,5030,BTG_terr,2,,2,Sytlam1OTmNzO0RTVjl0REhES0E
3609,938,07/04/2025,9:43:00 AM,5,5031,BTG_terr,16,,2,UnlyUjxVKndiOUJrMXh0KlBickg
3606,938,07/04/2025,9:27:00 AM,5,5032,BTG_terr,8,,2,SWgwO0txNCtPQXYpaXEhb21IcXM
3610,938,07/04/2025,9:50:00 AM,5,5033,BTG_terr,6,,2,V2RDbGU1QU1ZUnQmajpWR1F6O1o
3605,938,07/04/2025,9:17:00 AM,5,5034,BTG_terr,12,,2,V0hFaVR1MS00PCE2WHdqNFBJIXI
3611,938,07/04/2025,9:54:00 AM,5,5035,BTG_terr,13,,2,RHBLVEluSilOeEE5Y045a3RKSEQ
3604,938,07/04/2025,9:12:00 AM,5,5036,BTG_terr,2,,2,TXJSSDNrRTspckIoIWtoRmNKN0A
3612,938,07/04/2025,10:01:00 AM,5,5037,BTG_terr,14,,2,WVBdPiFkOXJJbis6bSg4TXpxeFk
3603,938,07/04/2025,9:09:00 AM,5,5038,BTG_terr,7,,2,KXhJc1Yrd05pTnVlcz5zMkFMTjU
3613,938,07/04/2025,10:10:00 AM,5,5039,BTG_terr,2,,2,K21rRypsQiNQPCNRQXArVTZDW0Q
3602,938,07/04/2025,9:04:00 AM,5,5040,BTG_terr,5,,2,KFFSUXkzQDJMayFrRXVlNEJ3VkU
3614,938,07/04/2025,10:12:00 AM,5,5041,BTG_terr,4,,2,WzkqbEpyU1JIaWklVztdRXRTPG8
3601,938,07/04/2025,8:58:00 AM,5,5042,BTG_terr,5,,2,QDhmOkJoeEhhY2E6UktuSXJqMWw
3615,938,07/04/2025,10:18:00 AM,5,5043,BTG_terr,13,,2,VUIxJmN4S2QjTGxATWlSbTgoWkM
3600,938,07/04/2025,8:49:00 AM,5,5044,BTG_terr,14,,2,VkN4V1s6Sjxnb2NxNUxRKk5ATkI
3616,938,07/04/2025,10:23:00 AM,5,5045,BTG_terr,3,,2,RDJKPGVHbWQtSzNUYlppTnk5aiE
3599,938,07/04/2025,8:47:00 AM,5,5046,BTG_terr,12,,2,RUR4XSpzKWxILUBBU0duN294aVk
3596,938,07/04/2025,8:41:00 AM,5,5047,BTG_terr,2,,2,UWxpVEU3dFg7YSg6YW5KeGQzZDo
3597,938,07/04/2025,8:41:00 AM,5,5049,BTG_terr,4,,2,Rnk8Y2NWWT5ROWZQJkk5bHdzKkY
3598,938,07/04/2025,8:41:00 AM,5,5050,BTG_terr,2,,2,SjoxPm1NblVxTF1dT25AbmswKUA
3665,938,14/04/2025,8:11:00 AM,5,5029,BTG_terr,14,,3,RXEjc25jZ0tqKWJGbHZdI0FnbnE
3688,938,14/04/2025,10:39:00 AM,5,5030,BTG_terr,2,,3,JnVYT1BdNEtNd0ZIUnVbWzhYUFA
